filename,anchor,argument,bibl,byline,c,castItem,castList,cell,choice,closer,corr,dateline,div,emph,epigraph,figure,fw,graphic,head,hi,item,l,lb,lg,link,list,milestone,note,opener,p,pb,pc,persName,placeName,postscript,q,ref,rhyme,row,salute,seg,sic,signed,sp,speaker,stage,table,title,trailer,w
letters.0464.xml,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
letters.0022.xml,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
letters.0387.xml,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
letters.0489.xml,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
letters.0643.xml,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
letters.0188.xml,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
letters.0143.xml,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,2,1,8,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0
letters.0637.xml,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
letters.0211.xml,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
letters.0254.xml,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
letters.0219.xml,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
txt_GrayTh1716_wdeho.xml,0,0,0,0,131,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,24,0,3,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
letters.0239.xml,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
letters.0543.xml,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
