filename,ab,abbr,add,addrLine,address,cell,choice,closer,corr,date,dateline,del,div1,div2,expan,figDesc,figure,fw,gap,head,hi,item,lb,list,note,opener,orgName,orig,p,pb,persName,postscript,ref,reg,row,rs,salute,sic,signed,stamp,table,unclear
correspondence:wfc.css00446.xml,0,0,0,0,0,0,3,1,3,0,1,0,1,0,0,0,2,0,0,0,2,0,8,0,2,1,0,0,3,2,1,0,3,0,0,0,2,3,1,0,0,0
correspondence:wfc.css00579.xml,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,8,0,1,0,0,0,1,2,1,0,3,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00459.xml,5,0,1,2,1,0,1,1,1,0,1,1,2,0,0,0,1,0,0,0,1,0,5,0,2,1,0,0,2,1,2,0,3,0,0,0,1,1,1,0,0,0
correspondence:wfc.css00469.xml,0,0,0,0,0,0,4,1,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,2,0,3,2,3,0,2,0,0,0,2,4,1,0,0,0
correspondence:wfc.css00445.xml,0,0,0,0,0,0,3,1,3,0,1,0,1,0,0,0,1,0,0,0,1,0,4,0,1,1,0,0,3,1,3,1,1,0,0,0,2,3,1,0,0,0
correspondence:wfc.css00464.xml,0,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,1,0,0,0,3,0,11,0,1,1,0,0,2,1,1,0,4,0,0,0,2,2,1,0,0,0
correspondence:wfc.css00454.xml,0,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,2,0,0,0,4,0,9,0,2,1,1,0,5,2,4,1,6,0,0,0,1,2,1,0,0,0
correspondence:wfc.css00570.xml,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,2,1,3,0,1,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00572.xml,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,9,0,1,0,0,0,1,1,2,0,3,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00571.xml,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,7,0,1,0,0,0,1,1,2,0,2,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00468.xml,0,0,0,0,0,0,4,2,3,0,1,0,1,0,0,0,0,0,0,0,2,0,3,0,2,1,0,1,3,2,3,1,3,1,0,0,2,3,2,0,0,0
correspondence:wfc.css00448.xml,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,2,0,0,0,1,0,6,0,2,1,1,0,4,4,5,0,5,0,0,0,2,1,1,0,0,0
correspondence:wfc.css00478.xml,0,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,4,0,0,0,4,0,13,0,2,1,1,0,5,2,3,0,2,0,0,0,2,2,1,0,0,0
correspondence:wfc.css00586.xml,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,10,0,1,0,0,0,1,1,1,0,6,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00497.xml,0,0,0,0,0,0,4,1,4,0,1,1,1,0,0,0,2,0,0,0,5,0,7,0,1,1,2,0,5,2,3,0,8,0,0,0,2,4,1,0,0,0
correspondence:wfc.css00494.xml,0,0,0,0,0,0,7,1,6,0,1,0,1,0,0,0,6,0,0,0,4,0,19,0,3,1,2,1,7,3,7,0,8,1,0,0,2,6,1,0,0,0
correspondence:wfc.css00505.xml,0,0,0,0,0,0,3,1,3,0,1,1,1,0,0,0,2,0,0,0,6,0,7,0,1,1,1,0,3,1,1,0,4,0,0,0,1,3,1,0,0,0
correspondence:wfc.css00484.xml,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,2,0,0,0,5,0,12,0,2,1,1,0,3,2,2,0,1,0,0,0,2,1,1,0,0,0
correspondence:wfc.css00480.xml,0,0,0,0,0,0,2,2,2,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,3,3,2,1,4,0,0,0,1,2,1,0,0,0
