filename,abbr,add,addrLine,address,argument,author,back,bibl,body,byline,cell,choice,cit,closer,corr,date,dateline,del,div,emph,epigraph,figure,floatingText,foreign,gap,head,hi,item,l,label,lb,lg,list,mentioned,milestone,name,note,opener,p,pb,q,ref,row,salute,seg,sic,signed,sp,speaker,stage,table,term,title,trailer,unclear
VAC7694.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6150.xml,0,0,0,0,0,0,0,1,6,0,0,1,1,7,1,0,2,0,76,89,1,0,6,69,0,140,0,0,20,0,2,5,0,0,0,0,0,5,4503,206,14,0,0,14,0,1,6,0,0,0,0,0,0,0,0
VAC7192.xml,0,0,1,1,0,0,0,0,3,0,0,1,0,4,1,0,2,0,42,117,0,0,3,57,0,77,5,0,34,0,0,7,0,0,9,0,0,2,2008,190,11,0,0,2,0,1,3,0,0,0,0,0,5,0,7
VAC7745.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC8060.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6376.xml,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,34,41,0,9,1,4,0,75,1,0,0,0,0,0,0,0,1,0,0,1,904,106,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
VAC6302.xml,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,2,0,31,103,0,0,6,31,0,50,1,0,0,0,0,0,0,0,5,0,39,4,1151,220,7,78,0,7,0,0,6,0,0,0,0,0,0,0,5
VAC8015.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7882.xml,0,0,0,0,0,0,0,34,3,0,0,0,34,3,0,0,3,0,41,678,37,0,3,104,0,77,4,0,185,0,0,41,0,0,1,0,1,3,3482,257,43,2,0,4,0,0,3,0,0,0,0,0,0,0,0
VAC6210.xml,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,9,0,38,262,0,0,11,0,0,55,4,0,24,0,0,6,0,0,8,0,5,11,695,128,17,10,0,3,0,0,4,0,0,0,0,0,0,0,0
